source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4982,06/25/2013 08:00:00 AM,,"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,4982.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5947,10.9628
timesofindia.indiatimes.com,http://timesofindia.indiatimes.com/city/kozhikode/Landslide-holds-up-traffic-at-Nadukani-for-hours-none-injured/articleshow/20771153.cms,4983,06/25/2013 08:00:00 AM,,"Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu","The landslides occurred at First Hairpin Bend, Thenpara and Jaram regions of Ghat Road, after the heavy rain received at Nadukani last night. Efforts to clear the block began early morning on Tuesday by forest officials who arrived from Nellikkuthu.","Jaram, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,4983.0,India,IN,Tamil Nādu,31364.0,Kangayam,6.03885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5947,10.9628
ZeeNews India,http://zeenews.india.com/tamil-nadu/landslip-results-in-traffic-disruption-for-two-hours-2011036.html,9761,06/01/2017 01:34:00 PM,,Landslide near Coonooer,"Trees and boulders fell onto highway, cutting off traffic for two hours",Coonoor-Mettupalyam road near Kallar,5km,landslide,rain,small,above_road,0.0,0.0,,,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.8694278,11.34165808
The Hindu,http://www.thehindu.com/news/cities/Mangalore/landslip-delays-train-movement/article18968245.ece,9730,06/12/2017 01:27:00 PM,,Landslide on tracks near Mangaluru,Landslide blocks train tracks on Southern Railway,"Near Mangaluru, on Southern Railway between Padil and Jokatte Stations",5km,landslide,rain,small,above_road,,,,,,,,,,,,,,06/15/2017 01:27:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.85970453,12.89674168
Kerala Everyday,http://kerala.indiaeveryday.com/fullnews-four-killed-in-landslip-at-pangappara-in-thiruvananthapuram-1186-3594643.htm,9738,06/05/2017 01:34:00 PM,,Landslide in Construction site in Pangappara,Construction wall seemingly failed and caused a landslide in a construction zone,"Pangappara, near Thiruvananthapuram",5km,landslide,construction,medium,urban,4.0,1.0,,http://english.mathrubhumi.com/polopoly_fs/1.1991988!/image/image.jpg_gen/derivatives/landscape_607/image.jpg,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.89785918,8.558668245
Times of India,http://timesofindia.indiatimes.com/city/mysuru/-Traffic-disrupted-for-4-hours-due-to-landslide/articleshow/9004179.cms?from=mdr,3659,06/27/2011 12:00:00 AM,,Madikeri-Mangalore highway,"Traffic was disrupted for four hours on Madikeri-Mangalore highway following a huge landslide, which dumped a lot of wet mud on to the road. It took the PWD over five hours to clear the road with the help of excavators. Deputy commissioner Chandregowda visited the spot with PWD engineers.   Since many landslides have been occurring at many spots along the Mangalore road, the deputy commissioner has instructed officials to deploy an excavator on the Mangalore road to remove road blocks whenever and wherever required. There are also many instances of roads being blocked by fallen trees and landslides of smaller intensities, in the interior parts of the district.  ",Madikeri-Mangalore highway,unknown,landslide,rain,medium,unknown,0.0,,,,,glc,3659.0,India,IN,Karnataka,53331.0,Puttūr,10.91024,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.2565,12.6771
www.deccanchronicle.com,http://www.deccanchronicle.com/131114/news-current-affairs/article/heavy-rains-landslide-hit-train-services-kumari-thiruvana%C2%ADntha,5635,11/13/2013 11:00:00 PM,,"Karakkamandapam, Kerala","Train services between Kanyakumari and Thiru_va__nanthapuram were cancelled following a landslide on the track at Nemom on Wednesday. The landslide, caused by heavy rain last night, was said to have partially covered the railway track. According to southern railway sources, Mumbai-bound Island express from Kanyakumari, Kan_yaku_mari-Thiruvana_ntha_puram passenger train, the Nagercoil-Man_galore Parasuram express and Nagercoil-Kochuvelly passenger train were cancelled on Wednesday. The Chennai-Guruvayoor express was stopped at Nagercoil due to the landslide. Ferry ervices to Vivek_ananda rock and Thiruvalluvar rock in Kanyakumari were also suspended on Wednesday due to rough seas. Due to continuous rain in the catchment areas, Pechi_parai dam registered an inflow of 382 cusecs, while Perunchani dam in the district received an inflow of 174 cusecs, according to PWD sources.","Karakkamandapam, Kerala",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,5635.0,India,IN,Kerala,784153.0,Thiruvananthapuram,7.3597,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.009,8.4557
ibnlive.in,http://ibnlive.in.com/news/landslides-in-parts-of-idukki/156453-60-116.html,3562,06/01/2011 11:00:00 PM,,"Kottayam-Kattapana road, at Ellapara(Elappara) village, Idukki, Kerala","Jun 04, 2011   Heavy rain lashing the state has caused landslides at various parts of the district. A landslide was reported at Ellapara on Wednesday night disrupting the vehicular movement on the Kottayam-Kattapana road for a few hours. A house was partially damaged in the incident. No casualties have been reported so far. The traffic was restored after clearing off the mud from the road.","Kottayam-Kattapana road, at Ellapara(Elappara) village, Idukki, Kerala",5km,landslide,downpour,medium,unknown,0.0,,,,,glc,3562.0,India,IN,Kerala,33408.0,Erāttupetta,22.75221,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.9792,9.6326
United Nations Development Programme - Relief Web,http://www.reliefweb.int/rw/RWB.NSF/db900SID/MCON-74J2QF?OpenDocument,100,06/25/2007 12:00:00 AM,,Kozhikode,United Nations Development Programme - Relief Web,Kozhikode,50km,landslide,rain,medium,unknown,,,,,,glc,100.0,India,IN,Kerala,439922.0,Kozhikode,5.8806,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.8275,11.2738
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-11-13/thiruvananthapuram/44028783_1_train-traffic-mangalore-central-parasuram-express-heavy-rain,5638,11/13/2013 12:00:00 AM,,"Nagercoil, Tamil Nadu",The train traffic at Thiruvananthapuram has been disrupted due to heavy incessant rain which has caused waterlogging on railway tracks and landslides at several places including the yard at Thiruvananthapuram Central station and Nagarcoil on Wednesday.,"Nagercoil, Tamil Nadu",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,5638.0,India,IN,Tamil Nadu,213858.0,Nāgercoil,1.09983,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.444,8.1747
