rank,unit_id,region,latitude,longitude,slope_degrees,pred_failure_prob,model_uncertainty,priority_score,current_risk_level,is14680_movement_type,is14680_recommended_measure
1,12956,sikkim,27.64744566932012,88.18272467650463,40.9,0.759,0.423,0.321,ORANGE,Complex (combined movement types),Combined system
2,2469,arunachal_pradesh,27.953688657262035,92.71255224777956,41.6,0.726,0.434,0.315,ORANGE,Complex (combined movement types),Combined system
3,45559,arunachal_pradesh,28.823904241673247,91.8901223467465,42.0,0.761,0.41,0.312,ORANGE,Complex (combined movement types),Combined system
4,32590,arunachal_pradesh,29.03426504025668,93.90956255930676,38.6,0.746,0.418,0.312,ORANGE,Complex (combined movement types),Combined system
5,28712,assam,27.61163693050127,90.14608981634964,38.0,0.736,0.422,0.311,ORANGE,Complex (combined movement types),Combined system
6,29060,arunachal_pradesh,29.085039026901978,94.09280874643504,44.7,0.757,0.408,0.309,ORANGE,Complex (combined movement types),Combined system
7,26554,arunachal_pradesh,29.121827588059496,92.83918890836532,40.7,0.78,0.395,0.308,ORANGE,Complex (combined movement types),Combined system
8,40366,arunachal_pradesh,28.926322672936703,96.7728136438965,40.1,0.741,0.415,0.308,ORANGE,Complex (combined movement types),Combined system
9,2270,arunachal_pradesh,29.466632317859347,96.04219700157812,45.0,0.787,0.391,0.308,ORANGE,Complex (combined movement types),Combined system
10,11360,sikkim,27.708500715203403,88.05981507653739,43.4,0.742,0.414,0.307,ORANGE,Complex (combined movement types),Combined system
11,14516,sikkim,27.568735840342185,88.24565920497784,41.8,0.756,0.405,0.307,ORANGE,Complex (combined movement types),Combined system
12,5710,assam,27.9261412816304,91.19755250644072,38.1,0.749,0.408,0.306,ORANGE,Complex (combined movement types),Combined system
13,7614,arunachal_pradesh,29.39730077926228,94.89017126331086,42.0,0.724,0.422,0.305,ORANGE,Complex (combined movement types),Combined system
14,512,assam,27.99717651971016,91.8152262025867,39.8,0.676,0.451,0.305,ORANGE,Complex (combined movement types),Combined system
15,3460,assam,27.96032399386289,91.21244218142428,41.2,0.766,0.398,0.305,ORANGE,Complex (combined movement types),Combined system
16,17454,assam,27.77343914510456,90.05356392934279,38.4,0.73,0.417,0.304,ORANGE,Complex (combined movement types),Combined system
17,2820,arunachal_pradesh,27.95423621944422,91.59037924537029,40.9,0.764,0.398,0.304,ORANGE,Complex (combined movement types),Combined system
18,25165,arunachal_pradesh,29.157774088119645,96.46982725411527,40.2,0.733,0.415,0.304,ORANGE,Complex (combined movement types),Combined system
19,4040,assam,27.94973627407276,91.1688111398704,38.0,0.736,0.412,0.303,ORANGE,Complex (combined movement types),Combined system
20,7920,arunachal_pradesh,29.39077287002741,96.47819893819234,45.5,0.787,0.385,0.303,ORANGE,Complex (combined movement types),Combined system
21,22131,arunachal_pradesh,29.178334376609147,93.69402205018194,37.5,0.769,0.393,0.303,ORANGE,Complex (combined movement types),Combined system
22,21187,arunachal_pradesh,29.209804195217902,96.05135211101764,40.3,0.714,0.424,0.303,ORANGE,Complex (combined movement types),Combined system
23,22340,assam,27.705040687144205,91.54634739296088,38.1,0.673,0.449,0.302,ORANGE,Complex (combined movement types),Combined system
24,15886,assam,27.79196398260443,89.56719472165602,42.1,0.727,0.416,0.302,ORANGE,Complex (combined movement types),Combined system
25,52804,assam,27.27871603648021,91.58700815837872,34.6,0.747,0.404,0.302,ORANGE,Complex (combined movement types),Combined system
26,14649,arunachal_pradesh,29.304166595541883,95.9117002399902,40.2,0.733,0.412,0.302,ORANGE,Complex (combined movement types),Combined system
27,18680,arunachal_pradesh,29.229439742561382,93.54821991893044,40.0,0.685,0.44,0.302,ORANGE,Complex (combined movement types),Combined system
28,18525,arunachal_pradesh,29.24927204180298,94.93384571769576,42.8,0.785,0.384,0.302,ORANGE,Complex (combined movement types),Combined system
29,14814,arunachal_pradesh,29.268525321671788,92.46466692754062,38.2,0.686,0.439,0.301,ORANGE,Complex (combined movement types),Combined system
30,24955,assam,27.66343538596052,89.79811175376746,35.6,0.761,0.396,0.301,ORANGE,Complex (combined movement types),Combined system
31,10436,arunachal_pradesh,29.35636499967935,96.53533443378456,48.6,0.764,0.394,0.301,ORANGE,Complex (combined movement types),Combined system
32,49368,arunachal_pradesh,28.776825856436528,96.67003515722328,41.2,0.759,0.396,0.301,ORANGE,Complex (combined movement types),Combined system
