rank,unit_id,region,latitude,longitude,slope_degrees,pred_failure_prob,model_uncertainty,priority_score,current_risk_level,is14680_movement_type,is14680_recommended_measure
1,2702,sikkim,27.70612931865396,88.80957584912174,35.7,0.759,0.374,0.284,ORANGE,Complex (combined movement types),Combined system
2,1855,sikkim,27.871967232576207,88.53518491214486,31.9,0.793,0.353,0.28,ORANGE,Complex (combined movement types),Combined system
3,3190,sikkim,27.622225914380028,88.79313117534518,33.5,0.71,0.391,0.278,ORANGE,Complex (combined movement types),Combined system
4,1861,sikkim,27.873452331023373,88.52256890503229,29.9,0.782,0.355,0.277,ORANGE,Complex (combined movement types),Combined system
5,2101,sikkim,27.832984423473672,88.83326764645085,28.8,0.758,0.364,0.276,ORANGE,Complex (combined movement types),Combined system
6,2643,sikkim,27.72253324074201,88.73337489304113,35.3,0.75,0.366,0.274,ORANGE,Complex (combined movement types),Combined system
7,1939,sikkim,27.86047155418461,88.60223424634322,34.5,0.681,0.402,0.274,ORANGE,Complex (combined movement types),Combined system
8,2610,sikkim,27.740404355238624,88.7651554086826,39.4,0.816,0.335,0.273,ORANGE,Complex (combined movement types),Combined system
9,1244,sikkim,27.97430106221904,88.80131273459268,29.1,0.816,0.333,0.272,ORANGE,Complex (combined movement types),Combined system
10,2169,sikkim,27.8250344502977,88.83116303186623,30.4,0.729,0.373,0.271,ORANGE,Complex (combined movement types),Combined system
11,2928,sikkim,27.669543177033976,88.68442268780177,27.7,0.703,0.386,0.271,GREEN,Complex (combined movement types),Combined system
12,3368,sikkim,27.584451578335447,88.55458892703544,40.8,0.711,0.382,0.271,ORANGE,Complex (combined movement types),Combined system
13,2149,sikkim,27.825055317663214,88.6749350584279,32.8,0.722,0.374,0.27,ORANGE,Complex (combined movement types),Combined system
14,2040,sikkim,27.84108813565721,88.81334081303883,33.5,0.733,0.368,0.27,ORANGE,Complex (combined movement types),Combined system
15,1564,sikkim,27.913929410565036,88.53201796273606,36.9,0.691,0.39,0.269,ORANGE,Complex (combined movement types),Combined system
16,1304,sikkim,27.95017439411922,88.21342552786128,31.8,0.82,0.328,0.269,ORANGE,Complex (combined movement types),Combined system
17,2860,sikkim,27.687937608574817,88.72582412657137,41.0,0.712,0.376,0.268,ORANGE,Complex (combined movement types),Combined system
18,1486,sikkim,27.9261479406162,88.54062187323562,33.7,0.715,0.374,0.267,ORANGE,Complex (combined movement types),Combined system
19,1239,sikkim,27.968992274401895,88.64370835777623,30.7,0.796,0.336,0.267,ORANGE,Complex (combined movement types),Combined system
20,2355,sikkim,27.774912122330164,88.8023829005119,35.6,0.787,0.339,0.267,ORANGE,Complex (combined movement types),Combined system
21,1142,sikkim,27.9965352032622,88.64288513035955,29.1,0.764,0.349,0.267,ORANGE,Complex (combined movement types),Combined system
22,2597,sikkim,27.73679614851869,88.83404251175675,30.6,0.85,0.313,0.266,ORANGE,Complex (combined movement types),Combined system
23,3062,sikkim,27.647695586798967,88.75173936374733,40.5,0.776,0.343,0.266,ORANGE,Complex (combined movement types),Combined system
24,2427,sikkim,27.749904415594074,88.66975347314414,31.5,0.785,0.338,0.265,ORANGE,Complex (combined movement types),Combined system
25,3471,sikkim,27.567569177879342,88.75049282568223,32.9,0.683,0.387,0.265,ORANGE,Complex (combined movement types),Combined system
26,1290,sikkim,27.957432985757016,88.29246279728812,33.9,0.7,0.378,0.265,ORANGE,Complex (combined movement types),Combined system
27,2207,sikkim,27.811617375247053,88.82646616874372,32.5,0.776,0.341,0.264,ORANGE,Complex (combined movement types),Combined system
28,2203,sikkim,27.80169553189735,88.75137443504744,32.8,0.756,0.348,0.263,ORANGE,Complex (combined movement types),Combined system
29,2674,sikkim,27.71808146488914,88.48151045854748,29.8,0.698,0.377,0.263,ORANGE,Complex (combined movement types),Combined system
30,1988,sikkim,27.85084337578777,88.6246647719125,33.0,0.634,0.414,0.262,ORANGE,Complex (combined movement types),Combined system
31,2525,sikkim,27.750389487062044,88.40757311621725,30.4,0.684,0.383,0.262,ORANGE,Complex (combined movement types),Combined system
32,2778,sikkim,27.698604303006398,88.7357900718319,36.5,0.678,0.386,0.262,ORANGE,Complex (combined movement types),Combined system
33,1764,sikkim,27.886800216396313,88.4975790103533,30.5,0.75,0.349,0.262,ORANGE,Complex (combined movement types),Combined system
34,2711,sikkim,27.713205193195673,88.74303576825508,37.6,0.675,0.388,0.262,ORANGE,Complex (combined movement types),Combined system
35,1806,sikkim,27.883571724464428,88.30796063736301,28.7,0.777,0.336,0.261,ORANGE,Complex (combined movement types),Combined system
36,3335,sikkim,27.5973039549247,88.6739080800225,40.0,0.628,0.415,0.261,ORANGE,Complex (combined movement types),Combined system
37,1945,sikkim,27.840139350403653,88.78289342208795,28.8,0.732,0.357,0.261,ORANGE,Complex (combined movement types),Combined system
38,2866,sikkim,27.684935280312203,88.72017443580157,39.1,0.755,0.345,0.261,ORANGE,Complex (combined movement types),Combined system
39,3082,sikkim,27.63744938881914,88.7467986773301,32.9,0.774,0.336,0.26,ORANGE,Complex (combined movement types),Combined system
40,2331,sikkim,27.78512453827811,88.82511496800215,35.6,0.822,0.316,0.26,ORANGE,Complex (combined movement types),Combined system
41,948,sikkim,28.042688004349923,88.57178829236173,27.6,0.811,0.32,0.26,GREEN,Complex (combined movement types),Combined system
42,2351,sikkim,27.77289902320964,88.52524529719115,40.5,0.676,0.384,0.259,ORANGE,Complex (combined movement types),Combined system
43,4019,sikkim,27.436845051435846,88.77583453280194,30.8,0.71,0.365,0.259,ORANGE,Complex (combined movement types),Combined system
44,2029,sikkim,27.833253643938633,88.7596168745063,28.9,0.744,0.348,0.259,ORANGE,Complex (combined movement types),Combined system
45,2602,sikkim,27.7281998807048,88.80061297115739,37.3,0.697,0.372,0.259,ORANGE,Complex (combined movement types),Combined system
46,2595,sikkim,27.741215670170362,88.8095063603438,37.1,0.765,0.338,0.259,ORANGE,Complex (combined movement types),Combined system
47,1612,sikkim,27.908131766490015,88.69455354269418,31.0,0.828,0.312,0.258,ORANGE,Complex (combined movement types),Combined system
48,2600,sikkim,27.74236222604769,88.78481348165559,35.4,0.817,0.316,0.258,ORANGE,Complex (combined movement types),Combined system
49,1726,sikkim,27.89430505709387,88.48675651760882,33.9,0.656,0.393,0.258,ORANGE,Complex (combined movement types),Combined system
50,2838,sikkim,27.67643696060245,88.5057540526156,25.6,0.795,0.324,0.258,GREEN,Complex (combined movement types),Combined system
51,2826,sikkim,27.692247361768775,88.560772768746,32.4,0.733,0.352,0.258,ORANGE,Complex (combined movement types),Combined system
52,3038,sikkim,27.6512666041463,88.61560792530004,37.3,0.733,0.351,0.258,RED,Complex (combined movement types),Combined system
53,1956,sikkim,27.86042473026925,88.52038744852506,27.2,0.843,0.305,0.257,ORANGE,Complex (combined movement types),Combined system
54,2460,sikkim,27.757647892044087,88.76287194796406,39.0,0.706,0.364,0.257,ORANGE,Complex (combined movement types),Combined system
55,2010,sikkim,27.845579044060226,88.6564835678852,24.6,0.867,0.296,0.257,GREEN,Complex (combined movement types),Combined system
56,2278,sikkim,27.794168065913894,88.40318522028183,29.3,0.715,0.359,0.257,ORANGE,Complex (combined movement types),Combined system
57,3029,sikkim,27.650694768757,88.49060095554135,35.0,0.665,0.385,0.256,ORANGE,Complex (combined movement types),Combined system
58,1353,sikkim,27.94270671246803,88.26316994432804,34.0,0.603,0.425,0.256,ORANGE,Complex (combined movement types),Combined system
59,1417,sikkim,27.936215753599033,88.7917739815966,30.5,0.636,0.403,0.256,ORANGE,Complex (combined movement types),Combined system
60,1800,sikkim,27.880285812156757,88.32425575933622,30.8,0.719,0.356,0.256,ORANGE,Complex (combined movement types),Combined system
61,2085,sikkim,27.833488068862312,88.73122825402032,28.7,0.763,0.335,0.256,ORANGE,Complex (combined movement types),Combined system
62,1513,sikkim,27.918234699951377,88.64530632061621,27.6,0.805,0.317,0.255,GREEN,Complex (combined movement types),Combined system
63,2511,sikkim,27.75395393362028,88.70190771697837,32.1,0.639,0.399,0.255,ORANGE,Complex (combined movement types),Combined system
64,2585,sikkim,27.740400631745132,88.48067613596338,28.1,0.753,0.339,0.255,ORANGE,Complex (combined movement types),Combined system
65,1637,sikkim,27.898427872019333,88.63069524574165,30.2,0.811,0.314,0.255,ORANGE,Complex (combined movement types),Combined system
