source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
hindustantimes,http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx,2025,06/28/2010 12:00:00 AM,,"Police CID complex(?), Shillong, Meghalaya","A 14-year-old girl was killed and at least seven others were injured on Monday after heavy rains triggered a landslide in Shillong. Alicia Arengngma, daughter of a policeman, was buried when debris of a landslide following heavy rain blocked the ground floor of Meghalaya police's CID complex, police said. Some nearby houses were also damaged and rescue operations were on, official sources said.  The injured were admitted in a government hospital.  Incessant rain over the past couple of days has thrown normal life completely out of gear in the state.","Police CID complex(?), Shillong, Meghalaya",5km,landslide,downpour,medium,unknown,1.0,,,,,glc,2025.0,India,IN,Meghālaya,132842.0,Shillong,0.46891,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.885,25.5728
thestatesman.net,http://www.thestatesman.net/page.news.php?clid=10&theme=&usrsess=1&id=164069,141,07/26/2007 12:00:00 AM,,Singtam,closest to predicted location of Shillong (397.72 km),Singtam,50km,landslide,rain,medium,unknown,,,,,,glc,141.0,India,IN,Meghālaya,11090.0,Cherrapunji,19.36242,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.88,25.38
NTV,http://en.ntvbd.com/bangladesh/17930/Mudslide-at-Sylhet-stone-quarry-kills-worker,9333,02/25/2016 01:00:00 PM,,Jaflong,"A worker was killed in a mud collapse at a stone quarry in Jaflong area of Goainghat upazila in Sylhet on Thursday, reports UNB.  Local people said Kamal Mia, aged around 50, resident of Budhigaon village in Goainghat upazila, died on the spot when a chunk of mud collapsed on him while digging out stones at the quarry at about 1:00pm.  Habi Mia alias Chhoto Habi, lease holder of the stone quarry, said they provided Tk50,000 as compensation to the family members of the deceased.  Goainghat police sub-inspector Manjurul said no complaint was lodged yet in connection with the quarry worker’s death.",Jaflong,5km,landslide,mining,small,mine,1.0,0.0,,,,glc,9333.0,Bangladesh,BD,Sylhet,237000.0,Sylhet,32.32367,08/03/2016 01:33:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0104,25.1622
The Financial Express,http://print.thefinancialexpress-bd.com/2015/11/17/118258,8955,11/16/2015 12:00:00 AM,,Companiganj upazila of Sylhet district,"A labourer was killed in an incident of landslide while doing work of stone lifting in Companiganj upazila of Sylhet district on Monday. The deceased was identified as Anwar, 35. Witnesses said Anwar, along with other labourers, was lifting stone from Shah Arefin Hill at noon. At a stage, a chunk of mud from the hill crashed on Anwar around 12pm, leaving him injured. Later, he was rushed to Companiganj health complex where on-duty doctors declared him dead, according to a news agency.",Companiganj upazila of Sylhet district,1km,landslide,unknown,small,mine,1.0,0.0,,,,glc,8955.0,Bangladesh,BD,Sylhet,39218.0,Chhātak,10.8974,07/14/2016 02:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7783,25.0821
Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/feb/23/4-died-sylhet-landslide,6792,02/22/2015 08:30:00 PM,,Bholaganj stone quarry in Companyganj upazila,"Witnesses said a chunk of mud collapsed on them around 8:30pm, while the labourers were digging up stones at the quarry, leaving them dead on the spot.",Bholaganj stone quarry in Companyganj upazila,5km,mudslide,mining,medium,mine,4.0,0.0,,,,glc,6792.0,Bangladesh,BD,Sylhet,39218.0,Chhātak,13.78623,02/24/2015 05:25:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.7483,25.1472
Newspost India.com,http://newspostindia.com/report-12963,212,08/26/2007 12:00:00 AM,,National Highway No 44 at Sonarpur in Meghalaya,"blocked road for several days, 2 days continuous rain, event occurred at 3:30pm",National Highway No 44 at Sonarpur in Meghalaya,unknown,complex,rain,medium,unknown,,,,,,glc,212.0,India,IN,Meghālaya,132842.0,Shillong,3.50078,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8506,25.5576
Zee News,http://zeenews.india.com/news/north-east/eight-die-of-landslide-in-east-khasi-hills_1474744.html,6290,09/23/2014 03:00:00 AM,,Mawbah under Mawprem area,"Eight persons including a pregnant woman were buried alive under the debris after a massive landslide occurred in Mawbah under Mawprem area in Meghalaya's East Khasi Hills District, officials said.",Mawbah under Mawprem area,5km,landslide,continuous_rain,small,urban,8.0,1.0,,,,glc,6290.0,India,IN,Meghalaya,132842.0,Shillong,1.8982,10/21/2014 05:21:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.8666,25.5772
zeenews.india,http://zeenews.india.com/news/assam/road-between-silchar-guwahati-disrupted_781633.html,4408,06/13/2012 12:00:00 AM,,"NH44, Kuliang","Road communication between Guwahati and Silchar has been disrupted following landslides due to heavy rainfall at five places, official sources said here on Wednesday.  Landslides occurred at five places between Malidhor and Kuliang area at Baleswar near Meghalaya on NH 44 since last evening due to which vehicles, including night buses, were stranded. ","NH44, Kuliang",unknown,landslide,downpour,medium,unknown,,,,,,glc,4408.0,India,IN,Meghālaya,132842.0,Shillong,19.46712,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,92.0757,25.5498
The Northeast Today,http://www.northeasttoday.in/two-women-buried-alive-in-shillong-landslide/,8366,09/23/2015 03:00:00 PM,,"Shillong, Meghalaya, India","Two women were buried alive under a massive pile of debris following a landslide at Lamavilla area in Shillong, Meghalaya on Wednesday afternoon triggered by heavy rainfall over the past few days.  The incident occurred when a retaining wall collapsed onto the houses below. The deceased women have been identified as Meenu Thapa (40’s) and Karuna Shreshta (25). The deceased were tenants of one Bina Lama. A five-year-old child Aditya Shrestha sustained serious injuries and was rushed to the hospital.  Soon after the news of the landslide, a team from the State Disaster Response Force rushed to the spot and started relief works. Incidentally, Wednesday’s landslide comes exactly a year to the day when eight persons including a pregnant woman were buried alive following a massive landslide triggered by incessant rainfall in Mawbah locality in Shillong.  When contacted, East Khasi Hills Deputy Commissioner P.S. Dkhar said he has asked the Meghalaya Urban Development Authority to conduct an i","Shillong, Meghalaya, India",5km,landslide,downpour,medium,natural_slope,2.0,1.0,,,,glc,8366.0,India,IN,Meghalaya,132842.0,Shillong,1.85404,07/06/2016 02:37:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,91.893,25.583
JagoNews24,https://www.jagonews24.com/en/national/news/20458,10983,03/16/2017 04:46:00 PM,,Jaflong Landslide Caused by Illegal Stone Picking,"Two labours have been killed and two others injured while picking stones illegally at Jaflong area in Gowainghat upazila of Sylhet district. The deceased were identified as Akram Mia and Lesu Mia, both are hailing from Tukerbazar area of Sylhet. Police and local sources said that four people were illegally trying to pick stone to make a hole at Nayabosti area. At one stage, a heavy chunk of mud collapsed on them, leaving the duo died on the spot. The injured were rushed to Sylhet Osmani Medical College Hospital.","Noyabosti area beside the Piyan River, Jaflong, Gowainghat upazila, Sylhet District, Bangladesh, Y:25.178619 X:92.012806",5km,landslide,mining,small,above_river,2.0,2.0,,https://www.jagonews24.com/media/imgAll/2016October/Sylhet-pic2017031612503020170316165734.jpg,Exact time 8:30am,,,,,,,,,10/04/2017 04:46:00 PM,12/08/2017 08:47:00 PM,02/15/2018 03:51:00 PM,92.012806,25.178619
